Isolate	N0.HOG0000011	N0.HOG0000016	N0.HOG0000019	N0.HOG0000020	N0.HOG0000022	N0.HOG0000023	N0.HOG0000032	N0.HOG0000102	N0.HOG0000161	N0.HOG0000166	N0.HOG0000168	N0.HOG0000180	N0.HOG0000181	N0.HOG0000188	N0.HOG0000208	N0.HOG0000209	N0.HOG0000210	N0.HOG0000211	N0.HOG0000219	N0.HOG0000223	N0.HOG0000224	N0.HOG0000226	N0.HOG0000228	N0.HOG0000268	N0.HOG0000269	N0.HOG0000270	N0.HOG0000271	N0.HOG0000272	N0.HOG0000273	N0.HOG0000274	N0.HOG0000283	N0.HOG0000336	N0.HOG0000337	N0.HOG0000338	N0.HOG0000339	N0.HOG0000340	N0.HOG0000341	N0.HOG0000342	N0.HOG0000343	N0.HOG0000344	N0.HOG0000345	N0.HOG0000346	N0.HOG0000347	N0.HOG0000348	N0.HOG0000349	N0.HOG0000351	N0.HOG0000352	N0.HOG0000355	N0.HOG0000356	N0.HOG0000357
LE19_251					O9338_13705|biosynthetic, O9338_13675|biosynthetic	O9338_10155|biosynthetic		O9338_10150|hypothetical			O9338_19560|hypothetical				O9338_13710|hypothetical	O9338_13715|hypothetical	O9338_13720|hypothetical	O9338_13725|hypothetical																																
LE19_281						ctg36_1|biosynthetic		ctg36_2|hypothetical																																										
LE19_338.1					O9326_16460|biosynthetic	O9326_16480|biosynthetic	O9326_10025|hypothetical	O9326_16485|hypothetical	O9326_07265|hypothetical		O9326_09960|hypothetical		O9326_22435|hypothetical								O9326_06145|biosynthetic-additional	O9326_10325|hypothetical																												
LE19_388.1C					ctg112_4|biosynthetic	ctg112_8|biosynthetic	ctg304_16|hypothetical	ctg112_9|hypothetical	ctg194_11|hypothetical	ctg221_9|hypothetical			ctg148_4|hypothetical	ctg221_8|biosynthetic-additional					ctg194_4|transport		ctg148_17|biosynthetic-additional	ctg160_14|hypothetical	ctg194_2|hypothetical																											
LE19_4.1A	ctg125_2|biosynthetic	ctg125_1|biosynthetic, ctg59_1|biosynthetic	ctg21_2|biosynthetic				ctg188_8|hypothetical		ctg86_5|hypothetical	ctg3_36|hypothetical		ctg125_3|hypothetical		ctg3_35|biosynthetic-additional					ctg86_4|transport			ctg168_20|hypothetical	ctg3_33|hypothetical	ctg25_19|biosynthetic-additional, ctg86_14|biosynthetic-additional	ctg86_8|hypothetical	ctg86_7|biosynthetic	ctg86_6|hypothetical	ctg125_8|hypothetical			ctg3_32|transport	ctg86_16|hypothetical	ctg86_13|hypothetical	ctg86_12|hypothetical	ctg86_11|biosynthetic-additional	ctg86_3|biosynthetic-additional	ctg86_2|biosynthetic-additional	ctg21_6|hypothetical	ctg21_7|hypothetical	ctg21_8|hypothetical	ctg21_9|biosynthetic-additional	ctg21_10|hypothetical	ctg21_11|biosynthetic-additional	ctg21_14|hypothetical	ctg21_15|hypothetical	ctg50_8|hypothetical		ctg188_18|hypothetical	ctg188_23|biosynthetic-additional	ctg188_25|hypothetical
LE19_41.2					O9290_00610|biosynthetic	O9290_00630|biosynthetic		O9290_00635|hypothetical			O9290_00375|hypothetical				O9290_00605|hypothetical	O9290_00600|hypothetical	O9290_00595|hypothetical	O9290_00590|hypothetical																																
LE19_55.1					O9299_10860|biosynthetic, O9299_10855|biosynthetic	O9299_10880|biosynthetic		O9299_10800|hypothetical							O9299_10845|hypothetical	O9299_10840|hypothetical	O9299_10835|hypothetical	O9299_10830|hypothetical																																
LE19_8.1					O9334_13430|biosynthetic	O9334_13440|biosynthetic-additional		O9334_13470|hypothetical			O9334_03695|hypothetical																																							
LE19_84.1					O9324_19140|biosynthetic, O9324_10480|biosynthetic, O9324_19120|biosynthetic	O9324_11190|biosynthetic, O9324_10475|biosynthetic		O9324_11185|hypothetical		O9324_03680|hypothetical	O9324_00055|hypothetical			O9324_03675|biosynthetic-additional	O9324_19145|hypothetical	O9324_19150|hypothetical	O9324_19155|hypothetical	O9324_19160|hypothetical																																
LE19_98.1					O9336_14545|biosynthetic, O9336_14550|biosynthetic	O9336_14525|biosynthetic		O9336_14605|hypothetical							O9336_14560|hypothetical	O9336_14565|hypothetical	O9336_14570|hypothetical	O9336_14575|hypothetical																																
